borrower_id,borrower_name,region,sector,years_in_operation,operation_size_acres,herd_size_head,relationship_start_date,primary_loan_officer
BOR-1220,O'Neil Qu'Appelle Valley Grain Co.,Saskatchewan,Grain & Oilseed,16,3152.0,,2021-07-01,R. Yaremko
BOR-1221,Friesen Rolling Hills Farms Ltd.,Manitoba,Grain & Oilseed,29,4389.0,,2015-07-01,J. Halvorsen
BOR-1222,Reimer Harvest Moon Dairy Ltd.,Alberta,Dairy,19,,141.0,2019-07-01,P. Anholt
BOR-1223,Novak Harvest Moon Farms Ltd.,Alberta,Grain & Oilseed,23,694.0,,2016-07-01,S. Kowalski
BOR-1224,Schmidt Silver Birch Farms Ltd.,Manitoba,Mixed Farming,11,2938.0,159.0,2015-07-01,K. Lund
BOR-1225,Bergen Silver Birch AgriBusiness Ltd.,Alberta,Mixed Farming,25,756.0,278.0,2012-07-01,T. Braun
BOR-1226,Iverson Coulee Grain Farms Ltd.,Manitoba,Grain & Oilseed,23,2462.0,,2023-07-01,C. Friesen
BOR-1227,Lund Prairie Grain Co.,Saskatchewan,Grain & Oilseed,28,699.0,,2020-07-01,D. Sorensen
BOR-1228,Novak Coulee Ranch Ltd.,Alberta,Livestock,21,,297.0,2013-07-01,C. Friesen
BOR-1229,Voss Qu'Appelle Valley Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,32,2916.0,,2025-07-01,P. Anholt
BOR-1230,Giesbrecht Golden Field Grain Co.,Saskatchewan,Grain & Oilseed,2,2155.0,,2024-07-01,C. Friesen
BOR-1231,Lund Red River Farms Ltd.,Manitoba,Grain & Oilseed,21,2315.0,,2024-07-01,C. Friesen
BOR-1232,Kessler Big Sky Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,33,1745.0,,2019-07-01,J. Halvorsen
BOR-1233,Reimer Rolling Hills Farms Ltd.,Alberta,Grain & Oilseed,10,1697.0,,2021-07-01,M. Reimer
BOR-1234,Kessler Assiniboine Grain Farms Ltd.,Manitoba,Grain & Oilseed,36,339.0,,2024-07-01,S. Kowalski
BOR-1235,Anholt Big Sky Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,26,1694.0,,2022-07-01,P. Anholt
BOR-1236,Toews Silver Birch Cattle Co.,Saskatchewan,Livestock,37,,121.0,2021-07-01,M. Reimer
BOR-1237,Kristoff Long Grass Grain Co.,Saskatchewan,Grain & Oilseed,11,1492.0,,2017-07-01,M. Reimer
BOR-1238,Dubois Golden Field Dairy Farm Ltd.,Manitoba,Dairy,18,,201.0,2015-07-01,C. Friesen
BOR-1239,Anholt Golden Field Family Farm,Alberta,Mixed Farming,25,373.0,69.0,2015-07-01,P. Anholt
BOR-1240,Lund Coulee Farms Ltd.,Alberta,Grain & Oilseed,24,2995.0,,2017-07-01,A. Dubois
BOR-1241,Martens Rimrock Grain Co.,Saskatchewan,Grain & Oilseed,10,481.0,,2019-07-01,C. Friesen
BOR-1242,Enns Qu'Appelle Valley Grain Co.,Alberta,Grain & Oilseed,3,3953.0,,2024-07-01,R. Yaremko
BOR-1243,Loewen Stonebridge Grain Co.,Saskatchewan,Grain & Oilseed,41,3068.0,,2018-07-01,C. Friesen
BOR-1244,Iverson Stonebridge Grain Co.,Manitoba,Grain & Oilseed,10,1599.0,,2024-07-01,J. Halvorsen
BOR-1245,Toews Harvest Moon Farms Ltd.,Alberta,Grain & Oilseed,14,2684.0,,2019-07-01,P. Anholt
BOR-1246,Schmidt Golden Field Family Farm,Manitoba,Mixed Farming,19,420.0,98.0,2015-07-01,T. Braun
BOR-1247,Martens Wheatland Livestock Co.,Saskatchewan,Livestock,34,,242.0,2023-07-01,T. Braun
BOR-1248,Novak Meadowbrook Family Farm,Manitoba,Mixed Farming,4,1452.0,132.0,2023-07-01,K. Lund
BOR-1249,Braun Big Sky Ranch Ltd.,Saskatchewan,Livestock,34,,275.0,2019-07-01,J. Halvorsen
BOR-1250,Neufeld Red River Grain Co.,Saskatchewan,Grain & Oilseed,48,1214.0,,2014-07-01,D. Sorensen
BOR-1251,Peters Prairie Cattle Co.,Saskatchewan,Livestock,28,,296.0,2016-07-01,S. Kowalski
BOR-1252,Iverson Golden Field Dairy Ltd.,Saskatchewan,Dairy,19,,518.0,2016-07-01,P. Anholt
BOR-1253,Harder Northern Farms Ltd.,Alberta,Mixed Farming,16,4619.0,229.0,2012-07-01,C. Friesen
BOR-1254,Kessler Harvest Moon Farms Ltd.,Alberta,Grain & Oilseed,19,964.0,,2013-07-01,M. Reimer
BOR-1255,Novikov Stonebridge Family Farm,Saskatchewan,Mixed Farming,15,1685.0,197.0,2019-07-01,C. Friesen
BOR-1256,Petrov Stonebridge AgriBusiness Ltd.,Saskatchewan,Mixed Farming,4,323.0,518.0,2025-07-01,A. Dubois
BOR-1257,Voss Meadowbrook Family Farm,Manitoba,Mixed Farming,10,2242.0,315.0,2016-07-01,D. Sorensen
BOR-1258,Kowalski Qu'Appelle Valley Dairy Ltd.,Manitoba,Dairy,11,,503.0,2019-07-01,A. Dubois
BOR-1259,Schmidt Harvest Moon Ranch Ltd.,Alberta,Livestock,19,,288.0,2021-07-01,M. Reimer
BOR-1260,Enns Coulee AgriBusiness Ltd.,Saskatchewan,Mixed Farming,11,392.0,168.0,2023-07-01,S. Kowalski
BOR-1261,Fischer Sunrise Grain Co.,Saskatchewan,Grain & Oilseed,16,669.0,,2013-07-01,S. Kowalski
BOR-1262,Marchand Silver Birch Livestock Co.,Saskatchewan,Livestock,18,,575.0,2014-07-01,C. Friesen
BOR-1263,Kowalski Red River Grain Co.,Manitoba,Grain & Oilseed,34,1002.0,,2021-07-01,T. Braun
BOR-1264,Baumann Meadowbrook AgriBusiness Ltd.,Saskatchewan,Mixed Farming,32,2538.0,337.0,2011-07-01,S. Kowalski
BOR-1265,Baumann Rimrock Ranch Ltd.,Alberta,Livestock,13,,791.0,2023-07-01,S. Kowalski
BOR-1266,Petrov Bluestem Grain Co.,Manitoba,Grain & Oilseed,13,1549.0,,2020-07-01,R. Yaremko
BOR-1267,O'Neil Assiniboine Farms Ltd.,Saskatchewan,Grain & Oilseed,19,1460.0,,2014-07-01,P. Anholt
BOR-1268,Schmidt Elk Valley Grain Co.,Saskatchewan,Grain & Oilseed,16,2331.0,,2022-07-01,P. Anholt
BOR-1269,Peters Bluestem Family Farm,Saskatchewan,Mixed Farming,7,457.0,483.0,2020-07-01,R. Yaremko
BOR-1270,Enns Rimrock AgriBusiness Ltd.,Manitoba,Mixed Farming,29,2185.0,389.0,2017-07-01,R. Yaremko
BOR-1271,Kowalski Cypress Hills Grain Farms Ltd.,Manitoba,Grain & Oilseed,2,1615.0,,2024-07-01,M. Reimer
BOR-1272,Bergen Red River Dairy Ltd.,Saskatchewan,Dairy,19,,113.0,2018-07-01,M. Reimer
BOR-1273,Petrov Qu'Appelle Valley Dairy Ltd.,Saskatchewan,Dairy,10,,625.0,2020-07-01,T. Braun
BOR-1274,Peters Bluestem Livestock Co.,Manitoba,Livestock,16,,508.0,2015-07-01,T. Braun
BOR-1275,Anholt Red River Farms Ltd.,Saskatchewan,Grain & Oilseed,30,2657.0,,2025-07-01,J. Halvorsen
BOR-1276,Dueck Elk Valley Grain Farms Ltd.,Alberta,Grain & Oilseed,25,2657.0,,2019-07-01,C. Friesen
BOR-1277,Neufeld Meadowbrook Ranch Ltd.,Alberta,Livestock,12,,382.0,2024-07-01,A. Dubois
BOR-1278,Neufeld Cypress Hills Dairy Farm Ltd.,Alberta,Dairy,56,,178.0,2021-07-01,R. Yaremko
BOR-1279,Radke Rimrock Ranch Ltd.,Saskatchewan,Livestock,22,,231.0,2015-07-01,S. Kowalski
BOR-1280,O'Neil Stonebridge Family Farm,Saskatchewan,Mixed Farming,31,1193.0,204.0,2016-07-01,R. Yaremko
BOR-1281,Dubois Cypress Hills Grain Co.,Saskatchewan,Grain & Oilseed,11,391.0,,2017-07-01,K. Lund
BOR-1282,Reimer Coulee Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,18,598.0,,2018-07-01,S. Kowalski
BOR-1283,Kessler Sunrise Farms Ltd.,Saskatchewan,Grain & Oilseed,10,4516.0,,2024-07-01,M. Reimer
BOR-1284,Iverson Long Grass Grain Co.,Manitoba,Grain & Oilseed,10,1621.0,,2023-07-01,S. Kowalski
BOR-1285,Reimer Silver Birch Dairy Ltd.,Saskatchewan,Dairy,24,,116.0,2020-07-01,R. Yaremko
BOR-1286,Kessler Twin Creek Cattle Co.,Alberta,Livestock,34,,231.0,2022-07-01,M. Reimer
BOR-1287,Sorensen Rolling Hills Dairy Ltd.,Alberta,Dairy,60,,323.0,2018-07-01,R. Yaremko
BOR-1288,Toews Bluestem Cattle Co.,Alberta,Livestock,5,,38.0,2025-07-01,M. Reimer
BOR-1289,Wiebe Northern Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,26,2075.0,,2016-07-01,C. Friesen
BOR-1290,Fischer Bluestem Cattle Co.,Manitoba,Livestock,17,,157.0,2023-07-01,K. Lund
BOR-1291,Neufeld Stonebridge Grain Co.,Alberta,Grain & Oilseed,27,3058.0,,2023-07-01,R. Yaremko
BOR-1292,Harder Big Sky Family Farm,Saskatchewan,Mixed Farming,24,4608.0,38.0,2013-07-01,P. Anholt
BOR-1293,Kowalski Sunrise Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,12,1135.0,,2023-07-01,K. Lund
BOR-1294,Bergen Sunrise Cattle Co.,Alberta,Livestock,12,,458.0,2018-07-01,K. Lund
BOR-1295,Anholt Coulee Farms Ltd.,Alberta,Grain & Oilseed,12,1759.0,,2022-07-01,J. Halvorsen
BOR-1296,Kristoff Silver Birch Dairy Ltd.,Alberta,Dairy,31,,368.0,2015-07-01,S. Kowalski
BOR-1297,Iverson Twin Creek Ranch Ltd.,Alberta,Livestock,19,,97.0,2013-07-01,C. Friesen
BOR-1298,Iverson Meadowbrook Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,12,1699.0,,2014-07-01,R. Yaremko
BOR-1299,Whitfield Rolling Hills Family Farm,Manitoba,Mixed Farming,11,5499.0,546.0,2018-07-01,D. Sorensen
BOR-1300,Yaremko Elk Valley Ranch Ltd.,Alberta,Livestock,38,,506.0,2023-07-01,M. Reimer
BOR-1301,Petrov Stonebridge Grain Co.,Saskatchewan,Grain & Oilseed,9,1402.0,,2025-07-01,T. Braun
BOR-1302,Whitmore Rimrock Family Farm,Alberta,Mixed Farming,5,1461.0,780.0,2024-07-01,S. Kowalski
BOR-1303,Janzen Sunrise Grain Co.,Saskatchewan,Grain & Oilseed,30,1228.0,,2020-07-01,C. Friesen
BOR-1304,O'Neil Golden Field Grain Farms Ltd.,Alberta,Grain & Oilseed,18,654.0,,2020-07-01,P. Anholt
BOR-1305,Dueck Qu'Appelle Valley Grain Co.,Alberta,Grain & Oilseed,30,1633.0,,2021-07-01,S. Kowalski
BOR-1306,Novak Twin Creek Dairy Ltd.,Alberta,Dairy,20,,318.0,2015-07-01,C. Friesen
BOR-1307,Kessler Silver Birch Grain Co.,Saskatchewan,Grain & Oilseed,17,1305.0,,2015-07-01,D. Sorensen
BOR-1308,Baumann Assiniboine Dairy Ltd.,Saskatchewan,Dairy,20,,240.0,2013-07-01,R. Yaremko
BOR-1309,Novak Coulee Family Farm,Saskatchewan,Mixed Farming,7,973.0,65.0,2024-07-01,C. Friesen
BOR-1310,Bergen Golden Field Farms Ltd.,Saskatchewan,Grain & Oilseed,14,769.0,,2025-07-01,D. Sorensen
BOR-1311,Reimer Meadowbrook Dairy Farm Ltd.,Alberta,Dairy,11,,492.0,2017-07-01,K. Lund
BOR-1312,Kessler Prairie Dairy Farm Ltd.,Manitoba,Dairy,30,,246.0,2012-07-01,P. Anholt
BOR-1313,O'Neil Long Grass Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,38,2655.0,,2023-07-01,M. Reimer
BOR-1314,Larsen Cypress Hills Dairy Ltd.,Alberta,Dairy,25,,277.0,2020-07-01,R. Yaremko
BOR-1315,Dueck Big Sky Dairy Ltd.,Manitoba,Dairy,12,,170.0,2023-07-01,J. Halvorsen
BOR-1316,Martens Red River AgriBusiness Ltd.,Alberta,Mixed Farming,60,2018.0,298.0,2023-07-01,J. Halvorsen
BOR-1317,Dueck Long Grass AgriBusiness Ltd.,Saskatchewan,Mixed Farming,22,1032.0,203.0,2020-07-01,T. Braun
BOR-1318,Petrov Silver Birch Farms Ltd.,Saskatchewan,Mixed Farming,12,959.0,128.0,2021-07-01,C. Friesen
BOR-1319,Novikov Silver Birch Family Farm,Manitoba,Mixed Farming,6,2487.0,122.0,2023-07-01,A. Dubois
BOR-1320,Whitmore Golden Field Grain Farms Ltd.,Alberta,Grain & Oilseed,12,652.0,,2017-07-01,T. Braun
BOR-1321,Fischer Stonebridge Farms Ltd.,Manitoba,Grain & Oilseed,8,1326.0,,2020-07-01,P. Anholt
BOR-1322,Neufeld Northern Grain Co.,Alberta,Grain & Oilseed,23,3058.0,,2016-07-01,C. Friesen
BOR-1323,Whitfield Northern Grain Co.,Saskatchewan,Grain & Oilseed,23,5350.0,,2015-07-01,R. Yaremko
BOR-1324,Peters Sunrise Ranch Ltd.,Alberta,Livestock,13,,230.0,2025-07-01,J. Halvorsen
BOR-1325,Friesen Sunrise Grain Co.,Saskatchewan,Grain & Oilseed,9,2379.0,,2018-07-01,D. Sorensen
BOR-1326,Peters Northern Farms Ltd.,Saskatchewan,Mixed Farming,20,2300.0,136.0,2024-07-01,A. Dubois
BOR-1327,Enns Red River Ranch Ltd.,Manitoba,Livestock,29,,156.0,2015-07-01,J. Halvorsen
BOR-1328,Wiebe Silver Birch AgriBusiness Ltd.,Alberta,Mixed Farming,38,2187.0,234.0,2018-07-01,C. Friesen
BOR-1329,Janzen Rimrock Grain Farms Ltd.,Alberta,Grain & Oilseed,5,319.0,,2025-07-01,S. Kowalski
BOR-1330,Novak Cypress Hills Dairy Ltd.,Alberta,Dairy,12,,90.0,2022-07-01,K. Lund
BOR-1331,Kessler Coulee Grain Co.,Alberta,Grain & Oilseed,24,2246.0,,2012-07-01,C. Friesen
BOR-1332,Kristoff Sunrise Farms Ltd.,Saskatchewan,Mixed Farming,29,2340.0,359.0,2011-07-01,D. Sorensen
BOR-1333,Kristoff Rimrock Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,30,1114.0,,2016-07-01,J. Halvorsen
BOR-1334,Lund Cypress Hills Dairy Ltd.,Saskatchewan,Dairy,28,,336.0,2024-07-01,C. Friesen
BOR-1335,Wiebe Qu'Appelle Valley Ranch Ltd.,Saskatchewan,Livestock,14,,205.0,2018-07-01,R. Yaremko
BOR-1336,Friesen Golden Field Farms Ltd.,Alberta,Mixed Farming,26,1498.0,267.0,2013-07-01,K. Lund
BOR-1337,Kowalski Qu'Appelle Valley Family Farm,Manitoba,Mixed Farming,15,3443.0,119.0,2019-07-01,A. Dubois
BOR-1338,Dueck Wheatland Grain Farms Ltd.,Alberta,Grain & Oilseed,8,1449.0,,2025-07-01,K. Lund
BOR-1339,Dueck Whitecap Dairy Ltd.,Manitoba,Dairy,18,,201.0,2023-07-01,D. Sorensen
BOR-1340,O'Neil Rolling Hills Family Farm,Saskatchewan,Mixed Farming,17,1708.0,76.0,2014-07-01,T. Braun
BOR-1341,Braun Whitecap Grain Co.,Saskatchewan,Grain & Oilseed,24,414.0,,2015-07-01,T. Braun
BOR-1342,Kessler Qu'Appelle Valley Grain Farms Ltd.,Alberta,Grain & Oilseed,8,4181.0,,2019-07-01,K. Lund
BOR-1343,Lund Big Sky Family Farm,Saskatchewan,Mixed Farming,19,1803.0,407.0,2022-07-01,P. Anholt
BOR-1344,Neufeld Qu'Appelle Valley Dairy Farm Ltd.,Saskatchewan,Dairy,60,,300.0,2017-07-01,R. Yaremko
BOR-1345,Neufeld Rolling Hills AgriBusiness Ltd.,Manitoba,Mixed Farming,19,1129.0,200.0,2013-07-01,M. Reimer
BOR-1346,Martens Rolling Hills Cattle Co.,Saskatchewan,Livestock,15,,414.0,2024-07-01,D. Sorensen
BOR-1347,Whitmore Silver Birch Dairy Ltd.,Saskatchewan,Dairy,36,,126.0,2013-07-01,M. Reimer
BOR-1348,Reimer Bluestem Grain Co.,Manitoba,Grain & Oilseed,23,3618.0,,2018-07-01,T. Braun
BOR-1349,Peters Silver Birch Ranch Ltd.,Saskatchewan,Livestock,24,,42.0,2017-07-01,D. Sorensen
BOR-1350,Giesbrecht Wheatland Farms Ltd.,Alberta,Mixed Farming,33,3153.0,281.0,2011-07-01,D. Sorensen
BOR-1351,Reimer Elk Valley Grain Co.,Saskatchewan,Grain & Oilseed,35,3149.0,,2015-07-01,P. Anholt
BOR-1352,Iverson Stonebridge Dairy Ltd.,Saskatchewan,Dairy,19,,214.0,2013-07-01,T. Braun
BOR-1353,Wiebe Meadowbrook Grain Farms Ltd.,Manitoba,Grain & Oilseed,30,2140.0,,2014-07-01,C. Friesen
BOR-1354,Harder Assiniboine Ranch Ltd.,Saskatchewan,Livestock,15,,552.0,2016-07-01,M. Reimer
BOR-1355,Loewen Elk Valley Family Farm,Alberta,Mixed Farming,33,2283.0,405.0,2015-07-01,P. Anholt
BOR-1356,Yaremko Whitecap Cattle Co.,Alberta,Livestock,22,,561.0,2023-07-01,M. Reimer
BOR-1357,Braun Golden Field Livestock Co.,Saskatchewan,Livestock,6,,204.0,2021-07-01,P. Anholt
BOR-1358,Bergen Cypress Hills Farms Ltd.,Saskatchewan,Grain & Oilseed,8,4191.0,,2023-07-01,A. Dubois
BOR-1359,Dueck Silver Birch Farms Ltd.,Saskatchewan,Grain & Oilseed,22,1685.0,,2024-07-01,A. Dubois
BOR-1360,Larsen Coulee Dairy Farm Ltd.,Manitoba,Dairy,25,,231.0,2020-07-01,M. Reimer
BOR-1361,Bergen Bluestem Farms Ltd.,Alberta,Grain & Oilseed,17,4433.0,,2014-07-01,C. Friesen
BOR-1362,Halvorsen Assiniboine Grain Co.,Saskatchewan,Grain & Oilseed,35,637.0,,2017-07-01,S. Kowalski
BOR-1363,Marchand Northern Cattle Co.,Saskatchewan,Livestock,17,,144.0,2017-07-01,T. Braun
BOR-1364,Whitmore Big Sky Dairy Farm Ltd.,Alberta,Dairy,21,,159.0,2022-07-01,K. Lund
BOR-1365,Anholt Assiniboine AgriBusiness Ltd.,Alberta,Mixed Farming,32,2625.0,156.0,2013-07-01,R. Yaremko
BOR-1366,Baumann Whitecap AgriBusiness Ltd.,Saskatchewan,Mixed Farming,8,1639.0,201.0,2021-07-01,P. Anholt
BOR-1367,Larsen Meadowbrook Family Farm,Saskatchewan,Mixed Farming,20,2614.0,294.0,2015-07-01,J. Halvorsen
BOR-1368,Kowalski Assiniboine Farms Ltd.,Saskatchewan,Mixed Farming,14,538.0,111.0,2015-07-01,R. Yaremko
BOR-1369,Petrov Twin Creek Farms Ltd.,Saskatchewan,Mixed Farming,8,842.0,152.0,2018-07-01,A. Dubois
BOR-1370,Kessler Coulee AgriBusiness Ltd.,Alberta,Mixed Farming,21,6282.0,361.0,2018-07-01,P. Anholt
BOR-1371,Schmidt Stonebridge Family Farm,Saskatchewan,Mixed Farming,16,730.0,131.0,2022-07-01,J. Halvorsen
BOR-1372,Larsen Northern Grain Co.,Saskatchewan,Grain & Oilseed,17,2543.0,,2018-07-01,P. Anholt
BOR-1373,Baumann Twin Creek Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,23,1782.0,,2025-07-01,A. Dubois
BOR-1374,Janzen Wheatland Ranch Ltd.,Saskatchewan,Livestock,25,,147.0,2011-07-01,T. Braun
BOR-1375,Dubois Big Sky Livestock Co.,Alberta,Livestock,37,,176.0,2025-07-01,C. Friesen
BOR-1376,Harder Whitecap Livestock Co.,Alberta,Livestock,6,,486.0,2025-07-01,T. Braun
BOR-1377,Peters Cypress Hills Dairy Ltd.,Saskatchewan,Dairy,16,,303.0,2016-07-01,J. Halvorsen
BOR-1378,Schmidt Harvest Moon Grain Co.,Saskatchewan,Grain & Oilseed,31,2916.0,,2020-07-01,C. Friesen
BOR-1379,Giesbrecht Cypress Hills Grain Farms Ltd.,Alberta,Grain & Oilseed,10,2268.0,,2022-07-01,M. Reimer
BOR-1380,Marchand Twin Creek Grain Farms Ltd.,Saskatchewan,Grain & Oilseed,15,1261.0,,2023-07-01,D. Sorensen
